ntaname,flood_classification,flooded_area,shape_area,boroname,flooded_area_perc,ntaname_boro
Westchester Square,Nuisance Flooding,626096.4966849326,15373585.4442,Bronx,4.07,"Westchester Square, Bronx"
Westerleigh-Castleton Corners,Deep and Contiguous Flooding,3854560.5138319028,76529172.7526,Staten Island,5.04,"Westerleigh-Castleton Corners, Staten Island"
Westerleigh-Castleton Corners,Nuisance Flooding,5082832.594011962,76529172.7526,Staten Island,6.64,"Westerleigh-Castleton Corners, Staten Island"
Whitestone-Beechhurst,Deep and Contiguous Flooding,2168044.8888626187,52637756.735,Queens,4.12,"Whitestone-Beechhurst, Queens"
Whitestone-Beechhurst,Future High Tides 2080,602469.4446071321,52637756.735,Queens,1.14,"Whitestone-Beechhurst, Queens"
Whitestone-Beechhurst,Nuisance Flooding,1863644.2481451032,52637756.735,Queens,3.54,"Whitestone-Beechhurst, Queens"
Williamsbridge-Olinville,Deep and Contiguous Flooding,1007060.4586110918,36242274.514,Bronx,2.78,"Williamsbridge-Olinville, Bronx"
Williamsbridge-Olinville,Future High Tides 2080,111582.8363807273,36242274.514,Bronx,0.31,"Williamsbridge-Olinville, Bronx"
Williamsbridge-Olinville,Nuisance Flooding,852892.828330292,36242274.514,Bronx,2.35,"Williamsbridge-Olinville, Bronx"
Williamsburg,Deep and Contiguous Flooding,1706097.2973259874,28854355.9582,Brooklyn,5.91,"Williamsburg, Brooklyn"
Williamsburg,Future High Tides 2080,738425.6644419234,28854355.9582,Brooklyn,2.56,"Williamsburg, Brooklyn"
Williamsburg,Nuisance Flooding,901832.5958666946,28854355.9582,Brooklyn,3.13,"Williamsburg, Brooklyn"
Windsor Terrace-South Slope,Deep and Contiguous Flooding,259588.74578590505,15312045.3643,Brooklyn,1.7,"Windsor Terrace-South Slope, Brooklyn"
Windsor Terrace-South Slope,Nuisance Flooding,823084.0593157867,15312045.3643,Brooklyn,5.38,"Windsor Terrace-South Slope, Brooklyn"
Woodhaven,Deep and Contiguous Flooding,957467.3329586511,23727496.8617,Queens,4.04,"Woodhaven, Queens"
Woodhaven,Nuisance Flooding,2352262.8931138674,23727496.8617,Queens,9.91,"Woodhaven, Queens"
Woodlawn Cemetery,Nuisance Flooding,6607.331303128011,17886378.5361,Bronx,0.04,"Woodlawn Cemetery, Bronx"
Woodside,Deep and Contiguous Flooding,1710435.6945180928,32949474.8882,Queens,5.19,"Woodside, Queens"
Woodside,Nuisance Flooding,1504136.8851116085,32949474.8882,Queens,4.56,"Woodside, Queens"
Yankee Stadium-Macombs Dam Park,Deep and Contiguous Flooding,148895.77502923278,2808902.98499,Bronx,5.3,"Yankee Stadium-Macombs Dam Park, Bronx"
Yankee Stadium-Macombs Dam Park,Nuisance Flooding,14160.739974792186,2808902.98499,Bronx,0.5,"Yankee Stadium-Macombs Dam Park, Bronx"
