nta2020,count,flood_classification,flooded_count,flooded_perc,ntaname,boroname,ntaname_boro
QN1001,23683,Deep and Contiguous Flooding,1821,7.69,South Ozone Park,Queens,"South Ozone Park, Queens"
QN1001,23683,Nuisance Flooding,1286,5.43,South Ozone Park,Queens,"South Ozone Park, Queens"
QN1303,19826,Nuisance Flooding,1698,8.56,Queens Village,Queens,"Queens Village, Queens"
QN1303,19826,Deep and Contiguous Flooding,1232,6.21,Queens Village,Queens,"Queens Village, Queens"
QN1205,18820,Deep and Contiguous Flooding,2304,12.24,St. Albans,Queens,"St. Albans, Queens"
QN1205,18820,Nuisance Flooding,1145,6.08,St. Albans,Queens,"St. Albans, Queens"
SI0302,17557,Deep and Contiguous Flooding,729,4.15,Great Kills-Eltingville,Staten Island,"Great Kills-Eltingville, Staten Island"
SI0302,17557,Nuisance Flooding,643,3.66,Great Kills-Eltingville,Staten Island,"Great Kills-Eltingville, Staten Island"
SI0302,17557,Future High Tides 2080,197,1.12,Great Kills-Eltingville,Staten Island,"Great Kills-Eltingville, Staten Island"
BK1801,15907,Deep and Contiguous Flooding,1342,8.44,Flatlands,Brooklyn,"Flatlands, Brooklyn"
BK1801,15907,Nuisance Flooding,1266,7.96,Flatlands,Brooklyn,"Flatlands, Brooklyn"
BK1101,15206,Nuisance Flooding,892,5.87,Bensonhurst,Brooklyn,"Bensonhurst, Brooklyn"
BK1101,15206,Deep and Contiguous Flooding,540,3.55,Bensonhurst,Brooklyn,"Bensonhurst, Brooklyn"
BK1803,14369,Deep and Contiguous Flooding,1018,7.08,Canarsie,Brooklyn,"Canarsie, Brooklyn"
BK1803,14369,Nuisance Flooding,1006,7.0,Canarsie,Brooklyn,"Canarsie, Brooklyn"
BK1803,14369,Future High Tides 2080,323,2.25,Canarsie,Brooklyn,"Canarsie, Brooklyn"
BK1802,14318,Nuisance Flooding,1220,8.52,Marine Park-Mill Basin-Bergen Beach,Brooklyn,"Marine Park-Mill Basin-Bergen Beach, Brooklyn"
BK1802,14318,Deep and Contiguous Flooding,982,6.86,Marine Park-Mill Basin-Bergen Beach,Brooklyn,"Marine Park-Mill Basin-Bergen Beach, Brooklyn"
BK1802,14318,Future High Tides 2080,36,0.25,Marine Park-Mill Basin-Bergen Beach,Brooklyn,"Marine Park-Mill Basin-Bergen Beach, Brooklyn"
BK1001,13895,Nuisance Flooding,466,3.35,Bay Ridge,Brooklyn,"Bay Ridge, Brooklyn"
BK1001,13895,Deep and Contiguous Flooding,266,1.91,Bay Ridge,Brooklyn,"Bay Ridge, Brooklyn"
QN1101,13123,Deep and Contiguous Flooding,961,7.32,Auburndale,Queens,"Auburndale, Queens"
QN1101,13123,Nuisance Flooding,636,4.85,Auburndale,Queens,"Auburndale, Queens"
SI0304,12447,Nuisance Flooding,341,2.74,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
SI0304,12447,Deep and Contiguous Flooding,253,2.03,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
SI0304,12447,Future High Tides 2080,15,0.12,Annadale-Huguenot-Prince's Bay-Woodrow,Staten Island,"Annadale-Huguenot-Prince's Bay-Woodrow, Staten Island"
QN1102,11905,Nuisance Flooding,410,3.44,Bayside,Queens,"Bayside, Queens"
QN1102,11905,Deep and Contiguous Flooding,363,3.05,Bayside,Queens,"Bayside, Queens"
QN1203,11904,Deep and Contiguous Flooding,1658,13.93,Baisley Park,Queens,"Baisley Park, Queens"
QN1203,11904,Nuisance Flooding,887,7.45,Baisley Park,Queens,"Baisley Park, Queens"
SI0105,11708,Nuisance Flooding,881,7.52,Westerleigh-Castleton Corners,Staten Island,"Westerleigh-Castleton Corners, Staten Island"
SI0105,11708,Deep and Contiguous Flooding,719,6.14,Westerleigh-Castleton Corners,Staten Island,"Westerleigh-Castleton Corners, Staten Island"
QN0501,11601,Deep and Contiguous Flooding,563,4.85,Maspeth,Queens,"Maspeth, Queens"
QN0501,11601,Nuisance Flooding,475,4.09,Maspeth,Queens,"Maspeth, Queens"
QN0501,11601,Future High Tides 2080,15,0.13,Maspeth,Queens,"Maspeth, Queens"
BK1503,11285,Future High Tides 2080,1859,16.47,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach, Brooklyn"
BK1503,11285,Nuisance Flooding,928,8.22,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach, Brooklyn"
BK1503,11285,Deep and Contiguous Flooding,723,6.41,Sheepshead Bay-Manhattan Beach-Gerritsen Beach,Brooklyn,"Sheepshead Bay-Manhattan Beach-Gerritsen Beach, Brooklyn"
SI0204,11263,Nuisance Flooding,670,5.95,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,"New Springville-Willowbrook-Bulls Head-Travis, Staten Island"
SI0204,11263,Deep and Contiguous Flooding,324,2.88,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,"New Springville-Willowbrook-Bulls Head-Travis, Staten Island"
SI0204,11263,Future High Tides 2080,20,0.18,New Springville-Willowbrook-Bulls Head-Travis,Staten Island,"New Springville-Willowbrook-Bulls Head-Travis, Staten Island"
BX1002,11225,Deep and Contiguous Flooding,1246,11.1,Throgs Neck-Schuylerville,Bronx,"Throgs Neck-Schuylerville, Bronx"
BX1002,11225,Future High Tides 2080,338,3.01,Throgs Neck-Schuylerville,Bronx,"Throgs Neck-Schuylerville, Bronx"
BX1002,11225,Nuisance Flooding,300,2.67,Throgs Neck-Schuylerville,Bronx,"Throgs Neck-Schuylerville, Bronx"
QN0704,11077,Deep and Contiguous Flooding,726,6.55,Murray Hill-Broadway Flushing,Queens,"Murray Hill-Broadway Flushing, Queens"
QN0704,11077,Nuisance Flooding,523,4.72,Murray Hill-Broadway Flushing,Queens,"Murray Hill-Broadway Flushing, Queens"
SI0104,10736,Nuisance Flooding,566,5.27,West New Brighton-Silver Lake-Grymes Hill,Staten Island,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
SI0104,10736,Deep and Contiguous Flooding,152,1.42,West New Brighton-Silver Lake-Grymes Hill,Staten Island,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
SI0104,10736,Future High Tides 2080,10,0.09,West New Brighton-Silver Lake-Grymes Hill,Staten Island,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
QN1305,10713,Deep and Contiguous Flooding,658,6.14,Laurelton,Queens,"Laurelton, Queens"
QN1305,10713,Nuisance Flooding,520,4.85,Laurelton,Queens,"Laurelton, Queens"
QN0602,10483,Deep and Contiguous Flooding,699,6.67,Forest Hills,Queens,"Forest Hills, Queens"
QN0602,10483,Nuisance Flooding,479,4.57,Forest Hills,Queens,"Forest Hills, Queens"
QN1302,10118,Nuisance Flooding,694,6.86,Bellerose,Queens,"Bellerose, Queens"
QN1302,10118,Deep and Contiguous Flooding,643,6.36,Bellerose,Queens,"Bellerose, Queens"
BK1202,10114,Nuisance Flooding,821,8.12,Borough Park,Brooklyn,"Borough Park, Brooklyn"
BK1202,10114,Deep and Contiguous Flooding,745,7.37,Borough Park,Brooklyn,"Borough Park, Brooklyn"
QN0503,10063,Deep and Contiguous Flooding,942,9.36,Glendale,Queens,"Glendale, Queens"
QN0503,10063,Nuisance Flooding,939,9.33,Glendale,Queens,"Glendale, Queens"
SI0201,10054,Deep and Contiguous Flooding,1195,11.89,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,"Grasmere-Arrochar-South Beach-Dongan Hills, Staten Island"
SI0201,10054,Nuisance Flooding,1175,11.69,Grasmere-Arrochar-South Beach-Dongan Hills,Staten Island,"Grasmere-Arrochar-South Beach-Dongan Hills, Staten Island"
SI0202,10036,Nuisance Flooding,1277,12.72,New Dorp-Midland Beach,Staten Island,"New Dorp-Midland Beach, Staten Island"
SI0202,10036,Deep and Contiguous Flooding,1110,11.06,New Dorp-Midland Beach,Staten Island,"New Dorp-Midland Beach, Staten Island"
