nta2020,count,flood_classification,flooded_count,flooded_perc,ntaname,boroname,ntaname_boro
BX0803,3242,Deep and Contiguous Flooding,119,3.67,Riverdale-Spuyten Duyvil,Bronx,"Riverdale-Spuyten Duyvil, Bronx"
BX0803,3242,Nuisance Flooding,78,2.41,Riverdale-Spuyten Duyvil,Bronx,"Riverdale-Spuyten Duyvil, Bronx"
BX0803,3242,Future High Tides 2080,3,0.09,Riverdale-Spuyten Duyvil,Bronx,"Riverdale-Spuyten Duyvil, Bronx"
BK1301,3176,Deep and Contiguous Flooding,888,27.96,Gravesend (South),Brooklyn,"Gravesend (South), Brooklyn"
BK1301,3176,Nuisance Flooding,346,10.89,Gravesend (South),Brooklyn,"Gravesend (South), Brooklyn"
BK1301,3176,Future High Tides 2080,1,0.03,Gravesend (South),Brooklyn,"Gravesend (South), Brooklyn"
SI0101,3135,Nuisance Flooding,124,3.96,St. George-New Brighton,Staten Island,"St. George-New Brighton, Staten Island"
SI0101,3135,Deep and Contiguous Flooding,77,2.46,St. George-New Brighton,Staten Island,"St. George-New Brighton, Staten Island"
SI0101,3135,Future High Tides 2080,1,0.03,St. George-New Brighton,Staten Island,"St. George-New Brighton, Staten Island"
MN0702,2761,Nuisance Flooding,102,3.69,Upper West Side (Central),Manhattan,"Upper West Side (Central), Manhattan"
MN0702,2761,Deep and Contiguous Flooding,62,2.25,Upper West Side (Central),Manhattan,"Upper West Side (Central), Manhattan"
MN0702,2761,Future High Tides 2080,1,0.04,Upper West Side (Central),Manhattan,"Upper West Side (Central), Manhattan"
MN0802,2698,Deep and Contiguous Flooding,125,4.63,Upper East Side-Carnegie Hill,Manhattan,"Upper East Side-Carnegie Hill, Manhattan"
MN0802,2698,Nuisance Flooding,81,3.0,Upper East Side-Carnegie Hill,Manhattan,"Upper East Side-Carnegie Hill, Manhattan"
QN0707,2652,Deep and Contiguous Flooding,286,10.78,Flushing-Willets Point,Queens,"Flushing-Willets Point, Queens"
QN0707,2652,Nuisance Flooding,249,9.39,Flushing-Willets Point,Queens,"Flushing-Willets Point, Queens"
QN0707,2652,Future High Tides 2080,35,1.32,Flushing-Willets Point,Queens,"Flushing-Willets Point, Queens"
MN1002,2603,Nuisance Flooding,165,6.34,Harlem (North),Manhattan,"Harlem (North), Manhattan"
MN1002,2603,Deep and Contiguous Flooding,28,1.08,Harlem (North),Manhattan,"Harlem (North), Manhattan"
MN1002,2603,Future High Tides 2080,3,0.12,Harlem (North),Manhattan,"Harlem (North), Manhattan"
QN0901,2452,Nuisance Flooding,87,3.55,Kew Gardens,Queens,"Kew Gardens, Queens"
QN0901,2452,Deep and Contiguous Flooding,40,1.63,Kew Gardens,Queens,"Kew Gardens, Queens"
BX0101,2447,Nuisance Flooding,147,6.01,Mott Haven-Port Morris,Bronx,"Mott Haven-Port Morris, Bronx"
BX0101,2447,Deep and Contiguous Flooding,106,4.33,Mott Haven-Port Morris,Bronx,"Mott Haven-Port Morris, Bronx"
BX0101,2447,Future High Tides 2080,36,1.47,Mott Haven-Port Morris,Bronx,"Mott Haven-Port Morris, Bronx"
MN0303,2441,Nuisance Flooding,350,14.34,East Village,Manhattan,"East Village, Manhattan"
MN0303,2441,Deep and Contiguous Flooding,92,3.77,East Village,Manhattan,"East Village, Manhattan"
MN0303,2441,Future High Tides 2080,47,1.93,East Village,Manhattan,"East Village, Manhattan"
QN0105,2408,Nuisance Flooding,241,10.01,Queensbridge-Ravenswood-Dutch Kills,Queens,"Queensbridge-Ravenswood-Dutch Kills, Queens"
QN0105,2408,Deep and Contiguous Flooding,136,5.65,Queensbridge-Ravenswood-Dutch Kills,Queens,"Queensbridge-Ravenswood-Dutch Kills, Queens"
QN0105,2408,Future High Tides 2080,2,0.08,Queensbridge-Ravenswood-Dutch Kills,Queens,"Queensbridge-Ravenswood-Dutch Kills, Queens"
BK0204,2405,Deep and Contiguous Flooding,114,4.74,Clinton Hill,Brooklyn,"Clinton Hill, Brooklyn"
BK0204,2405,Nuisance Flooding,100,4.16,Clinton Hill,Brooklyn,"Clinton Hill, Brooklyn"
MN0203,2299,Deep and Contiguous Flooding,223,9.7,West Village,Manhattan,"West Village, Manhattan"
MN0203,2299,Nuisance Flooding,127,5.52,West Village,Manhattan,"West Village, Manhattan"
MN0203,2299,Future High Tides 2080,3,0.13,West Village,Manhattan,"West Village, Manhattan"
BK0103,2284,Deep and Contiguous Flooding,419,18.35,South Williamsburg,Brooklyn,"South Williamsburg, Brooklyn"
BK0103,2284,Nuisance Flooding,89,3.9,South Williamsburg,Brooklyn,"South Williamsburg, Brooklyn"
BX1101,2192,Deep and Contiguous Flooding,752,34.31,Pelham Parkway-Van Nest,Bronx,"Pelham Parkway-Van Nest, Bronx"
BX1101,2192,Nuisance Flooding,106,4.84,Pelham Parkway-Van Nest,Bronx,"Pelham Parkway-Van Nest, Bronx"
BK0203,2127,Nuisance Flooding,76,3.57,Fort Greene,Brooklyn,"Fort Greene, Brooklyn"
BK0203,2127,Deep and Contiguous Flooding,14,0.66,Fort Greene,Brooklyn,"Fort Greene, Brooklyn"
MN0401,2091,Nuisance Flooding,529,25.3,Chelsea-Hudson Yards,Manhattan,"Chelsea-Hudson Yards, Manhattan"
MN0401,2091,Deep and Contiguous Flooding,121,5.79,Chelsea-Hudson Yards,Manhattan,"Chelsea-Hudson Yards, Manhattan"
MN0401,2091,Future High Tides 2080,72,3.44,Chelsea-Hudson Yards,Manhattan,"Chelsea-Hudson Yards, Manhattan"
BK1303,2073,Future High Tides 2080,620,29.91,Brighton Beach,Brooklyn,"Brighton Beach, Brooklyn"
BK1303,2073,Nuisance Flooding,276,13.31,Brighton Beach,Brooklyn,"Brighton Beach, Brooklyn"
BK1303,2073,Deep and Contiguous Flooding,15,0.72,Brighton Beach,Brooklyn,"Brighton Beach, Brooklyn"
BX1001,2032,Deep and Contiguous Flooding,417,20.52,Westchester Square,Bronx,"Westchester Square, Bronx"
BX1001,2032,Nuisance Flooding,142,6.99,Westchester Square,Bronx,"Westchester Square, Bronx"
BX1001,2032,Future High Tides 2080,6,0.3,Westchester Square,Bronx,"Westchester Square, Bronx"
BK0202,2015,Nuisance Flooding,191,9.48,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,"Downtown Brooklyn-DUMBO-Boerum Hill, Brooklyn"
BK0202,2015,Deep and Contiguous Flooding,83,4.12,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,"Downtown Brooklyn-DUMBO-Boerum Hill, Brooklyn"
BK0202,2015,Future High Tides 2080,13,0.65,Downtown Brooklyn-DUMBO-Boerum Hill,Brooklyn,"Downtown Brooklyn-DUMBO-Boerum Hill, Brooklyn"
MN1102,2000,Deep and Contiguous Flooding,72,3.6,East Harlem (North),Manhattan,"East Harlem (North), Manhattan"
MN1102,2000,Nuisance Flooding,49,2.45,East Harlem (North),Manhattan,"East Harlem (North), Manhattan"
MN1102,2000,Future High Tides 2080,10,0.5,East Harlem (North),Manhattan,"East Harlem (North), Manhattan"
MN1001,1979,Deep and Contiguous Flooding,139,7.02,Harlem (South),Manhattan,"Harlem (South), Manhattan"
MN1001,1979,Nuisance Flooding,86,4.35,Harlem (South),Manhattan,"Harlem (South), Manhattan"
BX1104,1949,Deep and Contiguous Flooding,54,2.77,Allerton,Bronx,"Allerton, Bronx"
BX1104,1949,Nuisance Flooding,46,2.36,Allerton,Bronx,"Allerton, Bronx"
BK0801,1876,Nuisance Flooding,42,2.24,Prospect Heights,Brooklyn,"Prospect Heights, Brooklyn"
BK0801,1876,Deep and Contiguous Flooding,3,0.16,Prospect Heights,Brooklyn,"Prospect Heights, Brooklyn"
BX0602,1808,Nuisance Flooding,83,4.59,Tremont,Bronx,"Tremont, Bronx"
BX0602,1808,Deep and Contiguous Flooding,54,2.99,Tremont,Bronx,"Tremont, Bronx"
BX0102,1760,Nuisance Flooding,72,4.09,Melrose,Bronx,"Melrose, Bronx"
BX0102,1760,Deep and Contiguous Flooding,59,3.35,Melrose,Bronx,"Melrose, Bronx"
BX0603,1716,Deep and Contiguous Flooding,148,8.62,Belmont,Bronx,"Belmont, Bronx"
BX0603,1716,Nuisance Flooding,38,2.21,Belmont,Bronx,"Belmont, Bronx"
MN0402,1689,Nuisance Flooding,226,13.38,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan"
MN0402,1689,Deep and Contiguous Flooding,86,5.09,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan"
MN0402,1689,Future High Tides 2080,11,0.65,Hell's Kitchen,Manhattan,"Hell's Kitchen, Manhattan"
BX0303,1685,Deep and Contiguous Flooding,68,4.04,Crotona Park East,Bronx,"Crotona Park East, Bronx"
